Lemur,Year2,Code,Total.Fat
Sifaka16,1.Pre.Drought,1,2.5
Sifaka16,2.Drought,1,4
Sifaka19,3.Drought,1,3.5
Sifaka19,4.Post.Drought,1,2
Sifaka24,1.Pre.Drought,2,1.5
Sifaka24,2.Drought,2,4.5
Sifaka24,4.Post.Drought,2,4
Sifaka05,1.Pre.Drought,2,2.5
Sifaka05,2.Drought,2,5
Sifaka05,4.Post.Drought,2,5
Sifaka03,1.Pre.Drought,2,1
Sifaka03,2.Drought,2,3
Sifaka03,4.Post.Drought,2,2.5
Sifaka11,1.Pre.Drought,1,5
Sifaka11,2.Drought,1,7
Sifaka09,1.Pre.Drought,1,3
Sifaka09,2.Drought,1,5
Sifaka13,1.Pre.Drought,2,2.5
Sifaka13,2.Drought,2,3.5
Sifaka13,3.Drought,2,3
Sifaka13,4.Post.Drought,2,2.5
Sifaka22,1.Pre.Drought,1,3
Sifaka22,2.Drought,1,6.5
Sifaka18,1.Pre.Drought,2,3
Sifaka18,2.Drought,2,4.5
Sifaka18,4.Post.Drought,2,2.5
Sifaka07,2.Drought,1,4.5
Sifaka07,4.Post.Drought,1,2
Sifaka10,1.Pre.Drought,2,3.5
Sifaka10,2.Drought,2,4.5
Sifaka10,4.Post.Drought,2,2
Sifaka26,1.Pre.Drought,1,2.5
Sifaka26,2.Drought,1,4
