Green.Year,Drought,N,PercFruit,sd,se,ci
2011,No,10,0,0,0,0
2012,No,59,0.258295755,0.238003804,0.030985456,0.062024129
2013,No,2,0.547619048,0.639763278,0.452380952,5.748045
2014,No,61,0.266312831,0.285813136,0.036594622,0.073200143
2015,No,40,0.202012624,0.199110436,0.031482124,0.063678607
2016,Yes,62,0.391078495,0.266775932,0.033880577,0.067748401
2017,Yes,66,0.236492453,0.204959847,0.025228813,0.050385419
2018,No,64,0.184885116,0.204846005,0.025605751,0.05116901
2019,No,110,0.219669225,0.181799168,0.017333871,0.034355168
2020,No,92,0.299337069,0.251232961,0.026192847,0.052028872
2021,No,65,0.168517582,0.155571867,0.019296315,0.038548821
2022,Yes,85,0.340992571,0.198160971,0.021493575,0.042742331
2023,No,67,0.346650644,0.257340286,0.03143912,0.062770228
