Green.Year,Drought,N,PercFlowers,sd,se,ci
2011,No,10,0.135203302,0.197156996,0.062346516,0.141037619
2012,No,59,0.102500216,0.147962787,0.019263114,0.038559312
2013,No,2,0,0,0,0
2014,No,61,0.03097515,0.099326674,0.012717477,0.025438742
2015,No,40,0.096334973,0.198510342,0.031387241,0.063486687
2016,Yes,62,0.06720008,0.104740624,0.013302073,0.026599138
2017,Yes,66,0.07075983,0.131917999,0.016237983,0.032429492
2018,No,64,0.019512859,0.063082014,0.007885252,0.015757418
2019,No,110,0.062872731,0.13684316,0.013047483,0.025859688
2020,No,92,0.049724946,0.095376809,0.00994372,0.019751978
2021,No,65,0.024647121,0.048274451,0.005987709,0.011961823
2022,Yes,85,0.054880269,0.073427854,0.007964369,0.015838021
2023,No,67,0.027869673,0.082692783,0.010102531,0.020170355
