Green.Year,Drought,N,PercSeeds,sd,se,ci
2011,No,10,0,0,0,0
2012,No,59,0.131543244,0.206911279,0.026937554,0.053921373
2013,No,2,0,0,0,0
2014,No,61,0.01121998,0.038714386,0.004956869,0.009915215
2015,No,40,0.173773748,0.14142024,0.022360503,0.045228387
2016,Yes,62,0.326487464,0.235842519,0.02995203,0.059892785
2017,Yes,66,0.282435629,0.237930752,0.029287251,0.058490679
2018,No,64,0.14711139,0.202896507,0.025362063,0.05068204
2019,No,110,0.145461616,0.178468785,0.017016331,0.033725815
2020,No,92,0.03751357,0.082183878,0.008568262,0.017019799
2021,No,65,0.06245144,0.092209266,0.011437152,0.022848337
2022,Yes,85,0.056924766,0.090185424,0.009781983,0.019452545
2023,No,67,0,0,0,0
